area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId,createByUser,productType
280 m²,21 tỷ,,,,,,,,,,16/10/2023,26/10/2023,Sale,LDP,37609342,0,5,False,False,283,SG,71,134,7634,227,,
"1.612,3 m²",145 tỷ,,,3 tầng,,,,,,,22/10/2023,01/11/2023,Sale,LDP,31658497,0,5,False,False,325,SG,71,11953,5004,227,,
200 m²,17 tỷ,"12,9 m",10 m,3 tầng,,,4 phòng,4 phòng,Sổ hồng,,22/10/2023,01/11/2023,Sale,LDP,33152639,0,5,False,False,41,SG,71,11845,4996,227,,
90 m²,"9,2 tỷ",,,,,,,,Sổ hồng.,,22/10/2023,01/11/2023,Sale,LDP,36096142,0,5,False,False,163,SG,71,133,11513,227,,
106 m²,"7,7 tỷ",,,,,,,,,,22/10/2023,01/11/2023,Sale,LDP,38295281,0,5,False,False,283,SG,71,134,11233,227,,
254 m²,"24,5 tỷ",,,,,,,,,,15/10/2023,25/10/2023,Sale,LDP,32921854,0,5,False,False,283,SG,71,134,7634,227,,
"168,8 m²","7,55 tỷ",,,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,37983980,0,5,False,False,283,SG,71,135,0,227,,
56 m²,"2,15 tỷ",,,,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,,,16/10/2023,26/10/2023,Sale,LDP,25300996,1942,5,False,False,324,SG,71,11845,1999,227,,
78 m²,"5,2 tỷ",,5 m,,Tây - Nam,,,,,,22/10/2023,01/11/2023,Sale,LDP,37542771,0,5,False,False,283,SG,71,133,2894,227,,
65 m²,"1,9 tỷ",,,,Nam,Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,38224180,3186,5,False,False,324,SG,71,11895,6760,227,,
90 m²,"3,8 tỷ",,,,,Đông - Nam,3 phòng,2 phòng,,,16/10/2023,26/10/2023,Sale,LDP,29989768,2571,5,False,False,324,SG,71,11953,4996,227,,
66 m²,"2,8 tỷ",,,,,,2 phòng,2 phòng,,,16/10/2023,26/10/2023,Sale,LDP,31066877,2571,5,False,False,324,SG,71,11953,4996,227,,
54 m²,"6,2 tỷ",6 m,5 m,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38091184,0,5,True,False,283,SG,71,11916,11192,227,,
119 m²,12 tỷ,7 m,12 m,,,,,,Sổ đỏ/ Sổ hồng,,14/10/2023,29/10/2023,Sale,LDP,38319338,0,5,False,False,283,SG,71,133,11279,227,,
102 m²,"7,7 tỷ",,,,,,,,,,16/10/2023,26/10/2023,Sale,LDP,38330388,0,5,False,False,163,SG,71,12435,0,227,,
"324,3 m²",15 tỷ,12 m,5 m,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,16/10/2023,26/10/2023,Sale,LDP,35494502,0,5,True,False,41,SG,71,137,2145,227,,
124 m²,6 tỷ,,,,,,2 phòng,,,,16/10/2023,26/10/2023,Sale,LDP,38328301,0,5,False,False,41,SG,71,134,7634,227,,
154 m²,"28,3 tỷ",7 m,13 m,5 tầng,Nam,,5 phòng,6 phòng,Sổ hồng,Giao thô,16/10/2023,26/10/2023,Sale,LDP,30499232,2034,5,False,False,575,SG,71,134,7634,227,,
147 m²,"29,2 tỷ",7 m,20 m,5 tầng,Đông - Nam,Đông - Nam,6 phòng,7 phòng,Sổ hồng,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,36645732,2034,5,False,False,575,SG,71,134,11222,227,,
68 m²,"2,2 tỷ",,,,,,1 phòng,1 phòng,,,16/10/2023,26/10/2023,Sale,LDP,28291145,2285,5,False,False,324,SG,71,11845,689,227,,
"113,3 m²","5,4 tỷ",5 m,5 m,2 tầng,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,09/10/2023,24/10/2023,Sale,LDP,38278645,0,5,False,False,41,SG,71,135,18005,227,,
"76,8 m²",Thỏa thuận,9 m,9 m,,,,,,Sổ đỏ/ Sổ hồng.,,16/10/2023,26/10/2023,Sale,LDP,36565332,0,5,False,False,283,SG,71,11845,11223,227,,
55 m²,"1,75 tỷ",,,,,,2 phòng,2 phòng,,,16/10/2023,26/10/2023,Sale,LDP,31380787,314,5,False,False,324,SG,71,135,4196,227,,
80 m²,Thỏa thuận,,9 m,,,,,,Sổ hồng.,,16/10/2023,26/10/2023,Sale,LDP,36511365,0,5,False,False,283,SG,71,11895,1836,227,,
85 m²,Thỏa thuận,,,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,37139997,0,5,False,False,283,SG,71,133,11255,227,,
50 m²,"3,35 tỷ",5 m,3 m,1 tầng,,,2 phòng,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38232904,0,5,False,False,41,SG,71,133,11243,227,,
68 m²,"2,45 tỷ",,,,,,2 phòng,2 phòng,,,16/10/2023,26/10/2023,Sale,LDP,30459235,2285,5,False,False,324,SG,71,11845,689,227,,
64 m²,"4,17 tỷ",4 m,5 m,1 tầng,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ,Cơ bản,16/10/2023,26/10/2023,Sale,LDP,38329668,0,5,False,False,41,SG,71,134,11211,227,,
45 m²,"1,2 tỷ",,,,Đông - Nam,Nam,2 phòng,2 phòng,,,16/10/2023,26/10/2023,Sale,LDP,37769369,4735,5,False,False,324,SG,71,138,795,227,,
1.100 m²,105 tỷ,,,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,37633869,0,5,False,False,283,SG,71,136,2638,227,,
